assignment_id,worker_id,task_id,estimated_duration_x,actual_duration,quality_score,success_score,completed_on_time,years_experience,primary_skill,skill_level,reliability_score,avg_task_completion_rate,task_type,required_skill_level,estimated_duration_y,priority,complexity
A124,W010,T001,20,16.6,100.0,112.3,True,17,Plumbing,5,0.68,0.95,Foundation Work,4,20,1,5
A125,W003,T009,17,19.0,68.9,81.2,False,5,Carpentry,2,0.7,1.08,Framing,3,17,2,3
A126,W004,T002,16,16.7,89.2,93.3,True,14,HVAC,4,0.74,1.09,Framing,2,16,1,3
A127,W001,T004,13,14.8,85.7,86.9,False,1,Carpentry,4,0.72,1.15,Electrical Installation,2,13,1,3
A128,W001,T007,6,7.5,93.7,85.7,False,1,Carpentry,4,0.72,1.15,Finishing,2,6,1,3
A129,W002,T010,23,23.0,68.9,87.7,True,6,General Labor,2,0.63,0.99,Foundation Work,2,23,3,3
A130,W001,T003,13,15.5,84.7,84.0,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,1,13,3,1
A131,W005,T006,9,10.9,74.3,79.3,False,2,General Labor,3,0.8,1.15,Plumbing Installation,4,9,1,4
A132,W001,T008,4,5.4,95.6,83.0,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A133,W002,T004,13,13.6,68.4,84.5,True,6,General Labor,2,0.63,0.99,Electrical Installation,2,13,1,3
A134,W008,T006,9,6.6,65.2,107.8,True,17,HVAC,2,0.84,0.8,Plumbing Installation,4,9,1,4
A135,W003,T010,23,27.1,68.8,78.5,False,5,Carpentry,2,0.7,1.08,Foundation Work,2,23,3,3
A136,W008,T002,16,10.9,61.8,113.0,True,17,HVAC,2,0.84,0.8,Framing,2,16,1,3
A137,W004,T004,13,12.7,90.1,97.3,True,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A138,W004,T001,20,20.1,96.6,98.3,True,14,HVAC,4,0.74,1.09,Foundation Work,4,20,1,5
A139,W004,T001,20,20.8,90.8,94.0,True,14,HVAC,4,0.74,1.09,Foundation Work,4,20,1,5
A140,W008,T004,13,9.2,68.5,111.9,True,17,HVAC,2,0.84,0.8,Electrical Installation,2,13,1,3
A141,W007,T004,13,14.5,100.0,93.8,False,13,Plumbing,5,0.65,1.14,Electrical Installation,2,13,1,3
A142,W010,T004,13,11.7,100.0,106.5,True,17,Plumbing,5,0.68,0.95,Electrical Installation,2,13,1,3
A143,W009,T004,13,11.4,100.0,108.5,True,9,Electrical,5,0.61,1.02,Electrical Installation,2,13,1,3
A144,W010,T003,13,9.7,100.0,120.6,True,17,Plumbing,5,0.68,0.95,Plumbing Installation,1,13,3,1
A145,W001,T008,4,4.6,87.5,87.5,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A146,W009,T004,13,13.2,100.0,98.9,True,9,Electrical,5,0.61,1.02,Electrical Installation,2,13,1,3
A147,W005,T005,20,23.7,77.4,81.6,False,2,General Labor,3,0.8,1.15,Foundation Work,5,20,3,4
A148,W002,T004,13,14.7,62.5,78.2,False,6,General Labor,2,0.63,0.99,Electrical Installation,2,13,1,3
A149,W009,T005,20,20.0,100.0,99.9,True,9,Electrical,5,0.61,1.02,Foundation Work,5,20,3,4
A150,W003,T001,20,21.7,66.7,82.0,True,5,Carpentry,2,0.7,1.08,Foundation Work,4,20,1,5
A151,W004,T006,9,10.1,98.5,92.8,False,14,HVAC,4,0.74,1.09,Plumbing Installation,4,9,1,4
A152,W010,T010,23,21.4,100.0,104.3,True,17,Plumbing,5,0.68,0.95,Foundation Work,2,23,3,3
A153,W006,T002,16,12.6,100.0,116.4,True,9,General Labor,5,0.93,0.86,Framing,2,16,1,3
A154,W009,T008,4,3.9,100.0,100.9,True,9,Electrical,5,0.61,1.02,Finishing,2,4,1,5
A155,W003,T006,9,9.4,63.6,82.9,True,5,Carpentry,2,0.7,1.08,Plumbing Installation,4,9,1,4
A156,W007,T008,4,4.3,100.0,95.7,True,13,Plumbing,5,0.65,1.14,Finishing,2,4,1,5
A157,W002,T006,9,10.0,66.6,80.8,False,6,General Labor,2,0.63,0.99,Plumbing Installation,4,9,1,4
A158,W002,T010,23,22.1,60.5,86.7,True,6,General Labor,2,0.63,0.99,Foundation Work,2,23,3,3
A159,W009,T002,16,16.6,100.0,97.8,True,9,Electrical,5,0.61,1.02,Framing,2,16,1,3
A160,W006,T003,13,12.4,100.0,102.9,True,9,General Labor,5,0.93,0.86,Plumbing Installation,1,13,3,1
A161,W002,T007,6,6.3,62.5,81.8,True,6,General Labor,2,0.63,0.99,Finishing,2,6,1,3
A162,W001,T002,16,19.0,90.7,86.9,False,1,Carpentry,4,0.72,1.15,Framing,2,16,1,3
A163,W009,T006,9,9.1,100.0,99.4,True,9,Electrical,5,0.61,1.02,Plumbing Installation,4,9,1,4
A164,W003,T009,17,18.0,67.0,83.5,True,5,Carpentry,2,0.7,1.08,Framing,3,17,2,3
A165,W004,T008,4,4.3,96.6,95.0,True,14,HVAC,4,0.74,1.09,Finishing,2,4,1,5
A166,W009,T004,13,12.2,100.0,103.9,True,9,Electrical,5,0.61,1.02,Electrical Installation,2,13,1,3
A167,W008,T004,13,8.9,66.1,114.4,True,17,HVAC,2,0.84,0.8,Electrical Installation,2,13,1,3
A168,W008,T003,13,10.4,69.1,102.4,True,17,HVAC,2,0.84,0.8,Plumbing Installation,1,13,3,1
A169,W002,T009,17,17.3,63.5,84.3,True,6,General Labor,2,0.63,0.99,Framing,3,17,2,3
A170,W010,T009,17,15.3,100.0,106.9,True,17,Plumbing,5,0.68,0.95,Framing,3,17,2,3
A171,W006,T008,4,3.4,100.0,110.3,True,9,General Labor,5,0.93,0.86,Finishing,2,4,1,5
A172,W003,T006,9,10.5,69.2,79.2,False,5,Carpentry,2,0.7,1.08,Plumbing Installation,4,9,1,4
A173,W007,T002,16,17.9,100.0,93.7,False,13,Plumbing,5,0.65,1.14,Framing,2,16,1,3
A174,W002,T002,16,17.2,64.0,81.5,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A175,W002,T002,16,16.4,62.9,83.7,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A176,W003,T010,23,26.8,66.6,78.1,False,5,Carpentry,2,0.7,1.08,Foundation Work,2,23,3,3
A177,W001,T003,13,17.0,91.0,82.2,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,1,13,3,1
A178,W001,T007,6,7.4,89.1,84.1,False,1,Carpentry,4,0.72,1.15,Finishing,2,6,1,3
A179,W003,T005,20,22.9,69.5,80.2,False,5,Carpentry,2,0.7,1.08,Foundation Work,5,20,3,4
A180,W008,T005,20,14.8,65.8,107.3,True,17,HVAC,2,0.84,0.8,Foundation Work,5,20,3,4
A181,W003,T007,6,6.8,61.2,77.7,False,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A182,W007,T007,6,7.2,100.0,89.7,False,13,Plumbing,5,0.65,1.14,Finishing,2,6,1,3
A183,W008,T010,23,15.9,61.1,111.5,True,17,HVAC,2,0.84,0.8,Foundation Work,2,23,3,3
A184,W007,T005,20,22.2,100.0,94.0,False,13,Plumbing,5,0.65,1.14,Foundation Work,5,20,3,4
A185,W001,T003,13,15.4,83.4,83.9,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,1,13,3,1
A186,W007,T007,6,6.3,100.0,97.2,True,13,Plumbing,5,0.65,1.14,Finishing,2,6,1,3
A187,W003,T006,9,10.5,65.4,77.5,False,5,Carpentry,2,0.7,1.08,Plumbing Installation,4,9,1,4
A188,W006,T006,9,8.3,100.0,104.9,True,9,General Labor,5,0.93,0.86,Plumbing Installation,4,9,1,4
A189,W003,T009,17,20.1,65.9,77.2,False,5,Carpentry,2,0.7,1.08,Framing,3,17,2,3
A190,W004,T004,13,12.6,80.1,93.8,True,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A191,W002,T002,16,16.9,64.5,82.5,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A192,W006,T004,13,10.8,100.0,112.4,True,9,General Labor,5,0.93,0.86,Electrical Installation,2,13,1,3
A193,W005,T005,20,26.1,74.9,76.0,False,2,General Labor,3,0.8,1.15,Foundation Work,5,20,3,4
A194,W005,T007,6,7.0,72.0,80.2,False,2,General Labor,3,0.8,1.15,Finishing,2,6,1,3
A195,W003,T010,23,26.3,68.0,79.7,False,5,Carpentry,2,0.7,1.08,Foundation Work,2,23,3,3
A196,W007,T005,20,24.0,100.0,90.0,False,13,Plumbing,5,0.65,1.14,Foundation Work,5,20,3,4
A197,W005,T005,20,22.8,77.5,83.7,False,2,General Labor,3,0.8,1.15,Foundation Work,5,20,3,4
A198,W008,T004,13,9.7,69.0,107.9,True,17,HVAC,2,0.84,0.8,Electrical Installation,2,13,1,3
A199,W002,T009,17,17.2,66.2,85.6,True,6,General Labor,2,0.63,0.99,Framing,3,17,2,3
A200,W003,T006,9,10.7,62.2,75.3,False,5,Carpentry,2,0.7,1.08,Plumbing Installation,4,9,1,4
A201,W010,T001,20,18.1,100.0,106.1,True,17,Plumbing,5,0.68,0.95,Foundation Work,4,20,1,5
A202,W008,T009,17,12.2,64.8,109.5,True,17,HVAC,2,0.84,0.8,Framing,3,17,2,3
A203,W001,T009,17,22.1,91.3,82.8,False,1,Carpentry,4,0.72,1.15,Framing,3,17,2,3
A204,W001,T008,4,5.2,90.0,82.1,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A205,W003,T007,6,6.9,62.8,77.1,False,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A206,W005,T001,20,23.2,71.4,80.3,False,2,General Labor,3,0.8,1.15,Foundation Work,4,20,1,5
A207,W007,T001,20,21.2,100.0,96.6,True,13,Plumbing,5,0.65,1.14,Foundation Work,4,20,1,5
A208,W003,T004,13,16.2,61.2,72.7,False,5,Carpentry,2,0.7,1.08,Electrical Installation,2,13,1,3
A209,W003,T001,20,21.9,61.9,79.5,True,5,Carpentry,2,0.7,1.08,Foundation Work,4,20,1,5
A210,W005,T008,4,4.5,79.2,85.0,False,2,General Labor,3,0.8,1.15,Finishing,2,4,1,5
A211,W002,T004,13,12.4,61.6,87.4,True,6,General Labor,2,0.63,0.99,Electrical Installation,2,13,1,3
A212,W002,T008,4,3.8,69.0,91.3,True,6,General Labor,2,0.63,0.99,Finishing,2,4,1,5
A213,W006,T003,13,10.9,100.0,111.5,True,9,General Labor,5,0.93,0.86,Plumbing Installation,1,13,3,1
A214,W010,T001,20,18.7,100.0,104.3,True,17,Plumbing,5,0.68,0.95,Foundation Work,4,20,1,5
A215,W003,T005,20,21.9,63.2,80.1,True,5,Carpentry,2,0.7,1.08,Foundation Work,5,20,3,4
A216,W010,T009,17,15.7,100.0,104.8,True,17,Plumbing,5,0.68,0.95,Framing,3,17,2,3
A217,W002,T002,16,15.2,68.7,90.8,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A218,W008,T009,17,11.9,63.3,111.3,True,17,HVAC,2,0.84,0.8,Framing,3,17,2,3
A219,W010,T002,16,12.8,100.0,115.1,True,17,Plumbing,5,0.68,0.95,Framing,2,16,1,3
A220,W002,T008,4,3.7,66.5,90.9,True,6,General Labor,2,0.63,0.99,Finishing,2,4,1,5
A221,W005,T009,17,23.1,76.8,74.9,False,2,General Labor,3,0.8,1.15,Framing,3,17,2,3
A222,W005,T006,9,11.7,79.6,78.1,False,2,General Labor,3,0.8,1.15,Plumbing Installation,4,9,1,4
A223,W002,T006,9,9.5,69.9,85.1,True,6,General Labor,2,0.63,0.99,Plumbing Installation,4,9,1,4
A224,W010,T008,4,3.4,100.0,110.3,True,17,Plumbing,5,0.68,0.95,Finishing,2,4,1,5
A225,W005,T009,17,22.7,77.8,76.1,False,2,General Labor,3,0.8,1.15,Framing,3,17,2,3
A226,W005,T002,16,19.5,73.9,78.8,False,2,General Labor,3,0.8,1.15,Framing,2,16,1,3
A227,W008,T007,6,4.6,62.3,102.8,True,17,HVAC,2,0.84,0.8,Finishing,2,6,1,3
A228,W001,T003,13,14.8,81.1,85.1,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,1,13,3,1
A229,W005,T005,20,24.0,74.2,79.7,False,2,General Labor,3,0.8,1.15,Foundation Work,5,20,3,4
A230,W001,T008,4,4.8,84.5,84.3,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A231,W009,T009,17,17.8,100.0,97.2,True,9,Electrical,5,0.61,1.02,Framing,3,17,2,3
A232,W002,T007,6,6.4,62.7,81.6,True,6,General Labor,2,0.63,0.99,Finishing,2,6,1,3
A233,W006,T004,13,10.7,100.0,112.7,True,9,General Labor,5,0.93,0.86,Electrical Installation,2,13,1,3
A234,W009,T010,23,21.7,100.0,103.7,True,9,Electrical,5,0.61,1.02,Foundation Work,2,23,3,3
A235,W001,T009,17,20.4,83.9,83.6,False,1,Carpentry,4,0.72,1.15,Framing,3,17,2,3
A236,W002,T002,16,15.4,65.8,88.5,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A237,W002,T001,20,22.2,65.8,80.3,False,6,General Labor,2,0.63,0.99,Foundation Work,4,20,1,5
A238,W005,T004,13,15.7,78.6,81.1,False,2,General Labor,3,0.8,1.15,Electrical Installation,2,13,1,3
A239,W004,T005,20,22.6,84.0,86.8,False,14,HVAC,4,0.74,1.09,Foundation Work,5,20,3,4
A240,W003,T009,17,19.9,65.9,77.7,False,5,Carpentry,2,0.7,1.08,Framing,3,17,2,3
A241,W002,T003,13,13.5,61.6,82.6,True,6,General Labor,2,0.63,0.99,Plumbing Installation,1,13,3,1
A242,W001,T006,9,12.1,83.8,78.1,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,4,9,1,4
